Province,Percent_of_population_Vaccinated,First_doses,Second_doses,Recieved_from_manufacturer,Received_doses_administered
Northwest Territories,33.76,15217,4558,35300,56
Yukon,29.27,12344,7093,35000,55.5
Nunavut,22.32,8767,5144,23900,58.2
Quebec,5.95,510479,0,638445,80
Prince Edward Island,5.01,8008,5273,14715,90.3
Saskatchewan,5,58934,27945,74605,116.5
Canada,4.4,1671250,560419,2654510,84.1
British Columbia,4.12,212105,86746,385080,77.6
Manitoba,3.99,55090,29847,124840,68
Alberta,3.98,176445,89786,274965,96.8
Ontario,3.74,551651,269063,903285,90.9
Newfoundland and Labrador,3.13,16330,8427,35620,69.5
New Brunswick,2.76,21599,12142,46775,72.1
Nova Scotia,2.48,24281,14395,61980,62.4
