Province,BioNTech,Moderna,Total,Percent_of_population_Vaccinated,First_doses,Second_doses,Recieved_from_manufacturer,Received_doses_administered
Alberta,208065,66900,274965,3.98,176445,89786,274965,96.8
British Columbia,224140,79200,323340,4.12,212105,86746,385080,77.6
Canada,1806864,630600,2437464,4.4,1671250,560419,2654510,84.1
Manitoba,71760,28900,100660,3.99,55090,29847,124840,68
New Brunswick,36075,10700,46775,2.76,21599,12142,46775,72.1
Newfoundland and Labrador,26520,7300,33820,3.13,16330,8427,35620,69.5
Northwest Territories,0,19100,19100,33.76,15217,4558,35300,56
Nova Scotia,47580,14400,61980,2.48,24281,14395,61980,62.4
Nunavut,0,23900,23900,22.32,8767,5144,23900,58.2
Ontario,698685,204600,903285,3.74,551651,269063,903285,90.9
Prince Edward Island,11115,3600,14715,5.01,8008,5273,14715,90.3
Quebec,404619,133200,537819,5.95,510479,0,638445,80
Saskatchewan,58305,16300,74605,5,58934,27945,74605,116.5
Yukon,0,18900,18900,29.27,12344,7093,35000,55.5
